Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,1,N/A,1,1,0,1,1,1,1,0
1.1,-1,N/A,-1,-1,-1,-1,-1,-1,-1,-1
1.2,-1,N/A,-1,-1,-1,-1,-1,-1,-1,-1
1.3,-1,N/A,-1,-1,-1,-1,-1,-1,-1,-1
1.4,-1,N/A,-1,-1,-1,-1,-1,-1,-1,-1
1.5,-1,N/A,-1,-1,-1,-1,-1,-1,-1,-1
1.6,0,N/A,0,0,0,0,0,0,0,0
1.7,-1,N/A,-1,-1,-1,-1,-1,-1,-1,-1
1.8,0,N/A,0,0,0,0,0,0,0,0
1.9,-2,N/A,-5,-5,-8,-5,-5,-2,-5,-5
1.10,-6,N/A,-6,-6,-8,-6,-6,-6,-6,-8
1.11,-1,N/A,0,0,-5,0,0,-1,0,-3
1.12,-3,N/A,-3,-3,-5,-3,-3,-3,-3,-5
1.13,-7,N/A,-7,-7,-13,-7,-7,-7,-7,-10
1.14,-18,N/A,-17,-17,-26,-17,-17,-18,-17,-21
1.15,-13,N/A,-13,-13,-20,-13,-13,-13,-13,-20
1.16,-9,N/A,-8,-8,-13,-8,-8,-9,-8,-13
1.17,-17,N/A,-17,-17,-40,-17,-17,-17,-17,-40
1.18,N/A,N/A,N/A,N/A,-31,N/A,N/A,N/A,N/A,N/A
1.19,-6,N/A,-6,-6,-8,-6,-6,-6,-6,-8
1.20,N/A,N/A,N/A,N/A,-92,N/A,N/A,N/A,N/A,N/A
1.21,-1,N/A,-1,-1,-1,-1,-1,-1,-1,-1
1.22,0,N/A,0,0,0,0,0,0,0,0
1.23,0,N/A,0,0,0,0,0,0,0,0
1.24,-4,N/A,-4,-4,-4,-4,-4,-4,-4,-4
1.25,-3,N/A,-3,-3,-3,-3,-3,-3,-3,-3
1.26,-6,N/A,-8,-8,-15,-8,-8,-6,-8,-11
1.27,9,N/A,6,6,0,6,6,9,6,3
1.28,1,N/A,1,1,-1,1,1,1,1,-1
1.29,-21,N/A,-24,-24,-33,-24,-24,-21,-24,-27
1.30,-48,N/A,-44,-44,-55,-44,-44,-48,-44,-55
1.31,-9,N/A,-8,-8,-14,-8,-8,-9,-8,-11
1.32,0,0,0,0,0,0,0,0,0,0
1.33,-1,N/A,-1,-1,-1,-1,-1,-1,-1,-1
1.34,0,N/A,0,0,0,0,0,0,0,0
1.35,-1,N/A,-1,-1,-1,-1,-1,-1,-1,-1
1.36,-5,N/A,-5,-5,-8,-5,-5,-5,-5,-8
1.37,-2,N/A,-2,-2,-4,-2,-2,-2,-2,-4
1.38,N/A,N/A,N/A,N/A,-8357,N/A,N/A,N/A,N/A,N/A
