Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,00:00:00.0000006,N/A,00:00:00.0000006,00:00:00.0000006,00:00:00,00:00:00.0000006,00:00:00.0000006,00:00:00.0000006,00:00:00.0000006,00:00:00
1.1,-00:00:00.0010000,N/A,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000
1.2,-00:00:00.0010000,N/A,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000
1.3,-00:00:00.0010000,N/A,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000
1.4,-00:00:00.0010000,N/A,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000
1.5,-00:00:00.0000001,N/A,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001
1.6,00:00:00,N/A,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
1.7,-00:00:00.0000001,N/A,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001
1.8,00:00:00,N/A,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
1.9,-00:00:00.0019994,N/A,-00:00:00.0019988,-00:00:00.0019988,-00:00:00.0020006,-00:00:00.0019988,-00:00:00.0019988,-00:00:00.0019994,-00:00:00.0019988,-00:00:00.0019994
1.10,-00:00:00.0019997,N/A,-00:00:00.0019997,-00:00:00.0019997,-00:00:00.0020003,-00:00:00.0019997,-00:00:00.0019997,-00:00:00.0019997,-00:00:00.0019997,-00:00:00.0020003
1.11,-00:00:00.0029985,N/A,-00:00:00.0029973,-00:00:00.0029973,-00:00:00.0030003,-00:00:00.0029973,-00:00:00.0029973,-00:00:00.0029985,-00:00:00.0029973,-00:00:00.0029991
1.12,00:00:00.0000007,N/A,00:00:00.0000007,00:00:00.0000007,-00:00:00.0000005,00:00:00.0000007,00:00:00.0000007,00:00:00.0000007,00:00:00.0000007,-00:00:00.0000005
1.21,-00:00:00.0000001,N/A,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001
1.22,00:00:00,N/A,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
1.23,-00:00:00.0000001,N/A,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001
1.25,-00:00:00.0010002,N/A,-00:00:00.0010002,-00:00:00.0010002,-00:00:00.0010002,-00:00:00.0010002,-00:00:00.0010002,-00:00:00.0010002,-00:00:00.0010002,-00:00:00.0010002
1.27,00:00:00.0000048,N/A,00:00:00.0000036,00:00:00.0000036,00:00:00,00:00:00.0000036,00:00:00.0000036,00:00:00.0000048,00:00:00.0000036,00:00:00.0000024
1.28,00:00:00.0000010,N/A,00:00:00.0000010,00:00:00.0000010,-00:00:00.0000002,00:00:00.0000010,00:00:00.0000010,00:00:00.0000010,00:00:00.0000010,-00:00:00.0000002
1.32,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
1.33,-00:00:00.0000001,N/A,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001
1.34,00:00:00,N/A,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
1.35,-00:00:00.0010000,N/A,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000
1.37,-00:00:00.0019990,N/A,-00:00:00.0019990,-00:00:00.0019990,-00:00:00.0020002,-00:00:00.0019990,-00:00:00.0019990,-00:00:00.0019990,-00:00:00.0019990,-00:00:00.0020002
