Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,9,N/A,9,9,8,9,9,9,9,8
1.1,6,N/A,6,6,6,6,6,6,6,6
1.2,6,N/A,6,6,6,6,6,6,6,6
1.3,6,N/A,6,6,6,6,6,6,6,6
1.4,7,N/A,7,7,7,7,7,7,7,7
1.5,6,N/A,6,6,6,6,6,6,6,6
1.6,5,N/A,5,5,5,5,5,5,5,5
1.7,5,N/A,5,5,5,5,5,5,5,5
1.8,6,N/A,6,6,6,6,6,6,6,6
1.9,16,N/A,13,13,10,13,13,16,13,13
1.10,10,N/A,10,10,8,10,10,10,10,8
1.11,11,N/A,12,12,7,12,12,11,12,9
1.12,15,N/A,15,15,13,15,15,15,15,13
1.13,27,N/A,27,27,21,27,27,27,27,24
1.14,37,N/A,38,38,29,38,38,37,38,34
1.15,116,N/A,116,116,109,116,116,116,116,109
1.16,35,N/A,36,36,31,36,36,35,36,31
1.17,109,N/A,109,109,86,109,109,109,109,86
1.18,N/A,N/A,N/A,N/A,113,N/A,N/A,N/A,N/A,N/A
1.19,27,N/A,27,27,25,27,27,27,27,25
1.20,N/A,N/A,N/A,N/A,194,N/A,N/A,N/A,N/A,N/A
1.21,5,N/A,5,5,5,5,5,5,5,5
1.22,21,N/A,21,21,21,21,21,21,21,21
1.23,16,N/A,16,16,16,16,16,16,16,16
1.24,82,N/A,82,82,82,82,82,82,82,82
1.25,8,N/A,8,8,8,8,8,8,8,8
1.26,96,N/A,94,94,87,94,94,96,94,91
1.27,20,N/A,17,17,11,17,17,20,17,14
1.28,20,N/A,20,20,18,20,20,20,20,18
1.29,51,N/A,48,48,39,48,48,51,48,45
1.30,60,N/A,64,64,53,64,64,60,64,53
1.31,29,N/A,30,30,24,30,30,29,30,27
1.32,4,4,4,4,4,4,4,4,4,4
1.33,15,N/A,15,15,15,15,15,15,15,15
1.34,11,N/A,11,11,11,11,11,11,11,11
1.35,11,N/A,11,11,11,11,11,11,11,11
1.36,28,N/A,28,28,25,28,28,28,28,25
1.37,11,N/A,11,11,9,11,11,11,11,9
1.38,N/A,N/A,N/A,N/A,26604,N/A,N/A,N/A,N/A,N/A
