Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,16,N/A,16,16,10,16,16,16,16,10
1.1,9,N/A,9,9,9,9,9,9,9,9
1.2,9,N/A,9,9,9,9,9,9,9,9
1.3,9,N/A,9,9,9,9,9,9,9,9
1.4,10,N/A,10,10,10,10,10,10,10,10
1.5,7,N/A,7,7,7,7,7,7,7,7
1.6,5,N/A,5,5,5,5,5,5,5,5
1.7,7,N/A,7,7,7,7,7,7,7,7
1.8,6,N/A,6,6,6,6,6,6,6,6
1.9,57,N/A,39,39,21,39,39,57,39,39
1.10,34,N/A,34,34,22,34,34,34,34,22
1.11,40,N/A,46,46,16,46,46,40,46,28
1.12,36,N/A,36,36,24,36,36,36,36,24
1.13,82,N/A,88,88,46,88,88,82,88,64
1.14,135,N/A,129,129,75,129,129,135,129,105
1.15,204,N/A,204,204,162,204,204,204,204,162
1.16,84,N/A,96,96,60,96,96,84,96,60
1.17,300,N/A,300,300,162,300,300,300,300,162
1.18,N/A,N/A,N/A,N/A,212,N/A,N/A,N/A,N/A,N/A
1.19,52,N/A,52,52,40,52,52,52,52,40
1.20,N/A,N/A,N/A,N/A,423,N/A,N/A,N/A,N/A,N/A
1.21,7,N/A,7,7,7,7,7,7,7,7
1.22,27,N/A,27,27,27,27,27,27,27,27
1.23,22,N/A,22,22,22,22,22,22,22,22
1.24,116,N/A,116,116,116,116,116,116,116,116
1.25,13,N/A,13,13,13,13,13,13,13,13
1.26,210,N/A,198,198,144,198,198,210,198,168
1.27,80,N/A,68,68,20,68,68,80,68,38
1.28,41,N/A,41,41,29,41,41,41,41,29
1.29,199,N/A,163,163,103,163,163,199,163,139
1.30,192,N/A,222,222,150,222,222,192,222,150
1.31,86,N/A,98,98,56,98,98,86,98,74
1.32,4,4,4,4,4,4,4,4,4,4
1.33,23,N/A,23,23,23,23,23,23,23,23
1.34,15,N/A,15,15,15,15,15,15,15,15
1.35,16,N/A,16,16,16,16,16,16,16,16
1.36,60,N/A,60,60,42,60,60,60,60,42
1.37,28,N/A,28,28,16,28,28,28,28,16
1.38,N/A,N/A,N/A,N/A,49397,N/A,N/A,N/A,N/A,N/A
